date_key,date,day,week,month,quarter,year
D000001,20-05-2017,20,3rd Week,5,Q2,2017
D000002,30-01-2015,30,4th Week,1,Q1,2015
D000003,14-03-2020,14,2nd Week,3,Q1,2020
D000004,27-04-2018,27,4th Week,4,Q2,2018
D000005,14-04-2018,14,2nd Week,4,Q2,2018
D000006,10-02-2017,10,2nd Week,2,Q1,2017
D000007,06-05-2015,6,1st Week,5,Q2,2015
D000008,23-09-2014,23,4th Week,9,Q3,2014
D000009,16-04-2016,16,3rd Week,4,Q2,2016
D000010,26-10-2015,26,4th Week,10,Q4,2015
D000011,02-05-2018,2,1st Week,5,Q2,2018
D000012,29-11-2017,29,4th Week,11,Q4,2017
D000013,17-09-2014,17,3rd Week,9,Q3,2014
D000014,12-06-2020,12,2nd Week,6,Q2,2020
D000015,22-11-2018,22,4th Week,11,Q4,2018
D000016,21-05-2019,21,3rd Week,5,Q2,2019
D000017,19-03-2015,19,3rd Week,3,Q1,2015
D000018,28-07-2015,28,4th Week,7,Q3,2015
D000019,12-11-2017,12,2nd Week,11,Q4,2017
D000020,10-05-2016,10,2nd Week,5,Q2,2016
D000021,24-04-2016,24,4th Week,4,Q2,2016
D000022,17-06-2016,17,3rd Week,6,Q2,2016
D000023,05-12-2020,5,1st Week,12,Q4,2020
D000024,02-04-2018,2,1st Week,4,Q2,2018
D000025,02-08-2020,2,1st Week,8,Q3,2020
D000026,21-11-2016,21,3rd Week,11,Q4,2016
D000027,24-01-2020,24,4th Week,1,Q1,2020
D000028,30-03-2017,30,4th Week,3,Q1,2017
D000029,15-01-2020,15,3rd Week,1,Q1,2020
D000030,10-07-2016,10,2nd Week,7,Q3,2016
D000031,17-05-2016,17,3rd Week,5,Q2,2016
D000032,11-05-2019,11,2nd Week,5,Q2,2019
D000033,02-11-2016,2,1st Week,11,Q4,2016
D000034,07-07-2020,7,1st Week,7,Q3,2020
D000035,07-04-2017,7,1st Week,4,Q2,2017
D000036,26-04-2020,26,4th Week,4,Q2,2020
D000037,20-04-2017,20,3rd Week,4,Q2,2017
D000038,11-01-2018,11,2nd Week,1,Q1,2018
D000039,17-09-2015,17,3rd Week,9,Q3,2015
D000040,29-04-2020,29,4th Week,4,Q2,2020
D000041,23-04-2014,23,4th Week,4,Q2,2014
D000042,26-08-2015,26,4th Week,8,Q3,2015
D000043,09-09-2014,9,2nd Week,9,Q3,2014
D000044,10-07-2018,10,2nd Week,7,Q3,2018
D000045,19-04-2020,19,3rd Week,4,Q2,2020
D000046,18-03-2015,18,3rd Week,3,Q1,2015
D000047,29-07-2014,29,4th Week,7,Q3,2014
D000048,16-07-2018,16,3rd Week,7,Q3,2018
D000049,08-05-2015,8,2nd Week,5,Q2,2015
D000050,19-08-2019,19,3rd Week,8,Q3,2019
D000051,26-06-2017,26,4th Week,6,Q2,2017
D000052,29-06-2014,29,4th Week,6,Q2,2014
D000053,12-08-2014,12,2nd Week,8,Q3,2014
D000054,11-04-2015,11,2nd Week,4,Q2,2015
D000055,10-08-2016,10,2nd Week,8,Q3,2016
D000056,08-08-2017,8,2nd Week,8,Q3,2017
D000057,24-04-2014,24,4th Week,4,Q2,2014
D000058,25-09-2020,25,4th Week,9,Q3,2020
D000059,01-07-2017,1,1st Week,7,Q3,2017
D000060,17-02-2016,17,3rd Week,2,Q1,2016
D000061,26-05-2018,26,4th Week,5,Q2,2018
D000062,31-01-2018,31,4th Week,1,Q1,2018
D000063,28-11-2019,28,4th Week,11,Q4,2019
D000064,20-04-2016,20,3rd Week,4,Q2,2016
D000065,26-06-2018,26,4th Week,6,Q2,2018
D000066,20-04-2014,20,3rd Week,4,Q2,2014
D000067,18-07-2014,18,3rd Week,7,Q3,2014
D000068,13-10-2016,13,2nd Week,10,Q4,2016
D000069,14-06-2015,14,2nd Week,6,Q2,2015
D000070,11-03-2019,11,2nd Week,3,Q1,2019
D000071,01-06-2019,1,1st Week,6,Q2,2019
D000072,04-11-2019,4,1st Week,11,Q4,2019
D000073,01-06-2017,1,1st Week,6,Q2,2017
D000074,30-09-2018,30,4th Week,9,Q3,2018
D000075,21-05-2015,21,3rd Week,5,Q2,2015
D000076,26-03-2014,26,4th Week,3,Q1,2014
D000077,04-02-2017,4,1st Week,2,Q1,2017
D000078,08-04-2014,8,2nd Week,4,Q2,2014
D000079,03-09-2014,3,1st Week,9,Q3,2014
D000080,08-12-2019,8,2nd Week,12,Q4,2019
D000081,22-06-2014,22,4th Week,6,Q2,2014
D000082,31-05-2020,31,4th Week,5,Q2,2020
D000083,27-03-2015,27,4th Week,3,Q1,2015
D000084,15-06-2019,15,3rd Week,6,Q2,2019
D000085,22-07-2018,22,4th Week,7,Q3,2018
D000086,02-02-2017,2,1st Week,2,Q1,2017
D000087,20-05-2018,20,3rd Week,5,Q2,2018
D000088,30-08-2016,30,4th Week,8,Q3,2016
D000089,19-08-2015,19,3rd Week,8,Q3,2015
D000090,10-01-2021,10,2nd Week,1,Q1,2021
D000091,15-04-2017,15,3rd Week,4,Q2,2017
D000092,03-05-2018,3,1st Week,5,Q2,2018
D000093,05-11-2014,5,1st Week,11,Q4,2014
D000094,17-08-2015,17,3rd Week,8,Q3,2015
D000095,21-03-2018,21,3rd Week,3,Q1,2018
D000096,09-09-2016,9,2nd Week,9,Q3,2016
D000097,11-07-2016,11,2nd Week,7,Q3,2016
D000098,31-12-2017,31,4th Week,12,Q4,2017
D000099,22-10-2014,22,4th Week,10,Q4,2014
D000100,30-06-2017,30,4th Week,6,Q2,2017
D000101,16-01-2020,16,3rd Week,1,Q1,2020
D000102,14-05-2018,14,2nd Week,5,Q2,2018
D000103,12-02-2020,12,2nd Week,2,Q1,2020
D000104,13-08-2019,13,2nd Week,8,Q3,2019
D000105,04-02-2014,4,1st Week,2,Q1,2014
D000106,24-06-2014,24,4th Week,6,Q2,2014
D000107,07-09-2016,7,1st Week,9,Q3,2016
D000108,31-05-2018,31,4th Week,5,Q2,2018
D000109,23-05-2015,23,4th Week,5,Q2,2015
D000110,03-03-2018,3,1st Week,3,Q1,2018
D000111,25-09-2016,25,4th Week,9,Q3,2016
D000112,26-04-2015,26,4th Week,4,Q2,2015
D000113,12-10-2019,12,2nd Week,10,Q4,2019
D000114,09-07-2020,9,2nd Week,7,Q3,2020
D000115,02-03-2016,2,1st Week,3,Q1,2016
D000116,02-10-2018,2,1st Week,10,Q4,2018
D000117,22-03-2019,22,4th Week,3,Q1,2019
D000118,26-01-2016,26,4th Week,1,Q1,2016
D000119,12-07-2018,12,2nd Week,7,Q3,2018
D000120,13-05-2015,13,2nd Week,5,Q2,2015
D000121,20-06-2016,20,3rd Week,6,Q2,2016
D000122,07-02-2017,7,1st Week,2,Q1,2017
D000123,18-06-2017,18,3rd Week,6,Q2,2017
D000124,16-08-2019,16,3rd Week,8,Q3,2019
D000125,20-01-2021,20,3rd Week,1,Q1,2021
D000126,23-06-2018,23,4th Week,6,Q2,2018
D000127,19-08-2016,19,3rd Week,8,Q3,2016
D000128,29-01-2017,29,4th Week,1,Q1,2017
D000129,23-12-2014,23,4th Week,12,Q4,2014
D000130,25-09-2019,25,4th Week,9,Q3,2019
