warehouse_key,name,phone,continent,country,country_code,city,address,latitude,longitude
W00001,Mirdiff city center,+971-42316646,Asia,United Arab Emirates,AE,Dubai,"شارع 47, مردف, دبي, الإمارات العربية المتحدة",25.22628,55.42484
W00002,Dubai Mall,+971-44190346,Asia,United Arab Emirates,AE,Dubai,"دبي مول, شارع المركز المالي, وسط مدينة دبي, دبي, الإمارات العربية المتحدة",25.197506,55.278446
W00003,Abu Dhabi-Dubai Rd - Abu Dhabi,+971-26120851,Asia,United Arab Emirates,AE,Abu Dhabi,"Deerfields Townsquare Shopping Centre, شارع الشيخ زايد بن سلطان, الباهية, البَاهية, أبوظبي, أبو ظبي, الإمارات العربية المتحدة",24.523875,54.671499
W00004,Street E,+971-44190590,Asia,United Arab Emirates,AE,Dubai,"Shades, ممشى المارينا, دبي مارينا, مرسى دبي, دبي, الإمارات العربية المتحدة",25.077058,55.140564
W00005,Fujairah City Center,+971-92029601,Asia,United Arab Emirates,AE,Fujairah,"City Centre Fujairah, شارع الشيخ حمد بن عبد الله الشرقي, الحليفات, Fujairah City - مدينة الفجيرة, فجيرة, الإمارات العربية المتحدة",25.125555,56.301462
W00006,Arabian plaza,+971-44190605,Asia,United Arab Emirates,AE,Dubai,"Arabian Center, طريق الخوانيج, المزهر, دبي, الإمارات العربية المتحدة",25.235277,55.436211
W00007,Deira City Centre,+971-42502044,Asia,United Arab Emirates,AE,Dubai,"ديرة سيتي سنتر, شارع 8, بور سعيد, ديرة, دبي, الإمارات العربية المتحدة",25.25174097781868,55.3325343132019
W00008,Deira City Centre,+971-4-2957244,Asia,United Arab Emirates,AE,Dubai,"ديرة سيتي سنتر, شارع 8, بور سعيد, ديرة, دبي, الإمارات العربية المتحدة",25.253477,55.330841
W00009,Bawadi Mall,+971-37840041,Asia,United Arab Emirates,AE,Al Ain,"بوادي مول, شارع النَّماء 4, النود, Al Khirayr, العين, أبو ظبي, الإمارات العربية المتحدة",24.160585,55.806987
W00010,Bawabat Al Sharq Mall,+971-26958220,Asia,United Arab Emirates,AE,Abu Dhabi,"Bawabat Al Sharq Mall, Baniyas, بني ياس غرب, جَرْن يَافُور, أبوظبي, أبو ظبي, الإمارات العربية المتحدة",24.311992,54.620179
W00011,Maina Mall,+971-26817871,Asia,United Arab Emirates,AE,Abu Dhabi,"Marina Mall, شارع الملك سلمان بن عبدالعزيز آل سعود, الكاسر, أبو ظبي, أبوظبي, أبو ظبي, الإمارات العربية المتحدة",24.47588,54.321941
W00012,Deira Ciry Centre,+971-42502044,Asia,United Arab Emirates,AE,Dubai,"ديرة سيتي سنتر, شارع 8, بور سعيد, ديرة, دبي, الإمارات العربية المتحدة",25.251461,55.332823
W00013,Al Hamra,+971-72437569,Asia,United Arab Emirates,AE,Ras Al Khaimah,"Al Hamra Mall, طريق الشيخ محمد بن سالم, الجزيرة الحمرة, Al jazeera heritage village, رأس الخيمة, الإمارات العربية المتحدة",25.683252,55.782265
W00014,Feest- en Cultuurpaleis,+32-80026880,Europe,Belgium,BE,Oostende,"H&M, 2, Wittenonnenstraat, Hazegras, Oostende, West-Vlaanderen, Vlaanderen, 8400, België / Belgique / Belgien",51.231494,2.918629
W00015,Place du Royaume,+1-855-272-7007,North America,Canada,CA,Chicoutimi,"H&M, Rue des Champs-Élysées, Des Oiseaux, Arrondissement de Chicoutimi, Saguenay, Saguenay–Lac-Saint-Jean, Québec, G7H 5Y4, Canada",48.40600902650495,-71.05441047055149
